Ident	Api	free	title	author	digital	available	isbn	barcode	year	branch	home_branch	category	publisher	keyword	system	audience	location	order	database
Usingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Detmold	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Salzkotten	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Luedinghausen	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Meschede	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wuelfrath	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
WeilImSchoenbuch	bibliotheca	false	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Unterfoehring	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Boetzingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Grasbrunn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Walldorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Gummersbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
ZellaMehlis	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Haslach	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	false	true	true	false	true	false
Roettenbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Fuldatal	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Planegg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Frammersbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Mantel	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Ottobrunn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kierspe	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Goeppingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kolbermoor	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bubenreuth	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Scheidegg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Lippstadt	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Berching	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Stuttgart_Religionspaedagogische_Arbeitsstelle	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Peitz	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
KevelaerTwisteden	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Lauingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
